SOURCE,FREQUENCY,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,FBD,FBR,PD3060,PD90180
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2005Q3,2005,3,09,0,1.3,,2.2,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2005Q4,2005,4,12,0,1.2,,2.5,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2006Q1,2006,1,03,0,1.1,,2,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2006Q2,2006,2,06,0,1,,2.4,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2006Q3,2006,3,09,0,1.1,,2.4,0.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2006Q4,2006,4,12,0,1.2,,2.5,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2007Q1,2007,1,03,0,1.2,,2.1,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2007Q2,2007,2,06,0,1.2,,2.4,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2007Q3,2007,3,09,0,1.2,,2.6,1.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2007Q4,2007,4,12,0,1.2,,3,1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2008Q1,2008,1,03,0,1.2,,2.4,1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2008Q2,2008,2,06,0,1.3,,2.3,1.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2008Q3,2008,3,09,0,1.2,,2.6,1.3
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2008Q4,2008,4,12,0,1.4,,2.9,1.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2009Q1,2009,1,03,0,1.6,,2.5,1.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2009Q2,2009,2,06,0,1.5,,2.8,1.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2009Q3,2009,3,09,0,1.7,,2.8,2.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2009Q4,2009,4,12,0,1.7,,2.7,2.2
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2010Q1,2010,1,03,0,1.7,,2.2,2.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2010Q2,2010,2,06,0,1.8,,2.3,2.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2010Q3,2010,3,09,0,2,,2.6,1.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2010Q4,2010,4,12,0,2,,2.6,1.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2011Q1,2011,1,03,0,2.1,,2.1,1.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2011Q2,2011,2,06,0,2,,2.3,1.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2011Q3,2011,3,09,0,1.9,,2.4,1.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2011Q4,2011,4,12,0,1.7,,2.4,1.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2012Q1,2012,1,03,0,1.7,,2.1,1.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2012Q2,2012,2,06,0,1.6,,2.1,1.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2012Q3,2012,3,09,0,1.5,,2.3,1.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2012Q4,2012,4,12,0,1.4,,2.4,1.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2013Q1,2013,1,03,0,1.4,,2.1,1.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2013Q2,2013,2,06,0,1.3,,2.1,1.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2013Q3,2013,3,09,0,1.4,,1.8,1.4
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2013Q4,2013,4,12,0,1.3,,2.3,1.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2014Q1,2014,1,03,0,1.1,,1.8,1.3
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2014Q2,2014,2,06,0,1.1,,1.6,1.3
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2014Q3,2014,3,09,0,1.1,,1.7,1.3
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2014Q4,2014,4,12,0,1,,2.1,1.3
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2015Q1,2015,1,03,0,1,,1.4,1.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2015Q2,2015,2,06,0,0.8,,1.5,1.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2015Q3,2015,3,09,0,0.8,,1.6,1.1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2015Q4,2015,4,12,0,0.8,,1.9,1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2016Q1,2016,1,03,0,0.7,,1.4,1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2016Q2,2016,2,06,0,0.6,,1.5,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2016Q3,2016,3,09,0,0.6,,1.6,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2016Q4,2016,4,12,0,0.5,,1.9,1
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2017Q1,2017,1,03,0,0.4,,1.5,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2017Q2,2017,2,06,0,0.4,,1.4,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2017Q3,2017,3,09,0,0.4,,1.6,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2017Q4,2017,4,12,0,0.3,,1.9,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2018Q1,2018,1,03,0,0.3,,1.6,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2018Q2,2018,2,06,0,0.3,,1.5,0.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2018Q3,2018,3,09,0,0.3,,1.7,0.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2018Q4,2018,4,12,0,0.2,,1.9,0.9
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2019Q1,2019,1,03,0,0.2,,1.6,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2019Q2,2019,2,06,0,0.2,,1.4,0.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2019Q3,2019,3,09,0,0.2,,1.5,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2019Q4,2019,4,12,0,0.2,0.1,1.8,0.8
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2020Q1,2020,1,03,0,0.2,0.5,1.6,0.7
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2020Q2,2020,2,06,0,0.2,1.6,0.8,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2020Q3,2020,3,09,0,0.1,4.7,0.8,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2020Q4,2020,4,12,0,0.1,1.6,1,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2021Q1,2021,1,03,0,0.1,1.1,0.7,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2021Q2,2021,2,06,0,0.1,0.8,0.6,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2021Q3,2021,3,09,0,0.1,0.6,0.8,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2021Q4,2021,4,12,0,0.1,0.6,1.1,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2022Q1,2022,1,03,0,0.1,0.5,1,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2022Q2,2022,2,06,0,0.1,0.4,1,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2022Q3,2022,3,09,0,0.1,0.3,1,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2022Q4,2022,4,12,0,0.1,0.3,1.4,0.6
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2023Q1,2023,1,03,0,0.1,0.2,1.4,0.5
NMDB,Quarterly,State,IA,Iowa,All Mortgages,2023Q2,2023,2,06,0,0.2,0.3,1.3,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2002Q1,2002,1,03,0,1.7,,2.3,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2002Q2,2002,2,06,0,1.7,,2.2,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2002Q3,2002,3,09,0,1.7,,2.3,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2002Q4,2002,4,12,0,1.8,,2.5,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2003Q1,2003,1,03,0,1.7,,2.4,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2003Q2,2003,2,06,0,1.8,,2.4,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2003Q3,2003,3,09,0,1.8,,2.5,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2003Q4,2003,4,12,0,1.7,,2.7,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2004Q1,2004,1,03,0,1.8,,2.2,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2004Q2,2004,2,06,0,1.6,,2.3,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2004Q3,2004,3,09,0,1.4,,2.4,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2004Q4,2004,4,12,0,1.3,,2.4,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2005Q1,2005,1,03,0,1.4,,1.9,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2005Q2,2005,2,06,0,1.3,,2.1,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2005Q3,2005,3,09,0,1.3,,2.2,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2005Q4,2005,4,12,0,1.1,,2.4,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2006Q1,2006,1,03,0,1,,1.8,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2006Q2,2006,2,06,0,0.9,,1.9,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2006Q3,2006,3,09,0,0.8,,1.9,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2006Q4,2006,4,12,0,0.7,,2.1,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2007Q1,2007,1,03,0,0.7,,1.8,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2007Q2,2007,2,06,0,0.7,,2,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2007Q3,2007,3,09,0,0.7,,2.1,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2007Q4,2007,4,12,0,0.7,,2.6,0.8
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2008Q1,2008,1,03,0,0.8,,2.2,0.9
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2008Q2,2008,2,06,0,0.9,,2.5,0.9
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2008Q3,2008,3,09,0,1.1,,2.7,1.2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2008Q4,2008,4,12,0,1.3,,3.2,1.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2009Q1,2009,1,03,0,1.7,,3.5,2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2009Q2,2009,2,06,0,2.2,,3.4,2.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2009Q3,2009,3,09,0,2.5,,3.6,3.1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2009Q4,2009,4,12,0,2.7,,3.6,3.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2010Q1,2010,1,03,0,2.8,,3.3,3.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2010Q2,2010,2,06,0,2.9,,3.3,3.1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2010Q3,2010,3,09,0,3.2,,3.2,3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2010Q4,2010,4,12,0,3.6,,3.2,2.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2011Q1,2011,1,03,0,3.4,,2.6,2.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2011Q2,2011,2,06,0,3.3,,2.9,2.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2011Q3,2011,3,09,0,3,,2.8,2.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2011Q4,2011,4,12,0,2.7,,2.9,2.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2012Q1,2012,1,03,0,2.8,,2.3,2.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2012Q2,2012,2,06,0,2.6,,2.6,2.1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2012Q3,2012,3,09,0,2.4,,2.7,2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2012Q4,2012,4,12,0,2.2,,2.5,2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2013Q1,2013,1,03,0,2.2,,2.2,1.8
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2013Q2,2013,2,06,0,1.9,,2.1,1.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2013Q3,2013,3,09,0,1.6,,2,1.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2013Q4,2013,4,12,0,1.6,,2.2,1.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2014Q1,2014,1,03,0,1.6,,1.9,1.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2014Q2,2014,2,06,0,1.4,,1.6,1.2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2014Q3,2014,3,09,0,1.2,,1.9,1.2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2014Q4,2014,4,12,0,1.2,,2,1.2
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2015Q1,2015,1,03,0,1.1,,1.6,1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2015Q2,2015,2,06,0,1,,1.6,1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2015Q3,2015,3,09,0,0.8,,1.6,1
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2015Q4,2015,4,12,0,0.6,,1.8,0.9
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2016Q1,2016,1,03,0,0.6,,1.6,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2016Q2,2016,2,06,0,0.6,,1.6,0.7
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2016Q3,2016,3,09,0,0.4,,1.6,0.8
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2016Q4,2016,4,12,0,0.4,,1.8,0.8
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2017Q1,2017,1,03,0,0.4,,1.7,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2017Q2,2017,2,06,0,0.4,,1.6,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2017Q3,2017,3,09,0,0.4,,1.7,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2017Q4,2017,4,12,0,0.3,,1.7,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2018Q1,2018,1,03,0,0.3,,1.6,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2018Q2,2018,2,06,0,0.3,,1.3,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2018Q3,2018,3,09,0,0.3,,1.2,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2018Q4,2018,4,12,0,0.2,,1.8,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2019Q1,2019,1,03,0,0.1,,1.1,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2019Q2,2019,2,06,0,0.1,,1.5,0.6
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2019Q3,2019,3,09,0,0.1,,1.2,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2019Q4,2019,4,12,0,0.1,0,1.8,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2020Q1,2020,1,03,0,0.1,0.9,0.9,0.5
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2020Q2,2020,2,06,0,0.1,3,0.6,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2020Q3,2020,3,09,0,0.1,2.4,0.6,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2020Q4,2020,4,12,0,0.1,2.1,0.8,0.4
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2021Q1,2021,1,03,0,0.1,1.6,0.6,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2021Q2,2021,2,06,0,0.1,1.2,0.4,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2021Q3,2021,3,09,0,0.1,0.8,0.7,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2021Q4,2021,4,12,0,0,0.6,0.7,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2022Q1,2022,1,03,0,0,0.6,0.7,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2022Q2,2022,2,06,0,0,0.3,0.7,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2022Q3,2022,3,09,0,0,0.2,0.9,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2022Q4,2022,4,12,0,0,0.2,1.2,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2023Q1,2023,1,03,0,0,0.2,1,0.3
NMDB,Quarterly,State,ID,Idaho,All Mortgages,2023Q2,2023,2,06,0,0.1,0.2,1.2,0.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2002Q1,2002,1,03,0,1.6,,2.2,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2002Q2,2002,2,06,0,1.6,,2.3,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2002Q3,2002,3,09,0,1.6,,2.4,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2002Q4,2002,4,12,0,1.6,,2.6,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2003Q1,2003,1,03,0,1.7,,2.1,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2003Q2,2003,2,06,0,1.6,,2.2,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2003Q3,2003,3,09,0,1.5,,2.4,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2003Q4,2003,4,12,0,1.5,,2.6,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2004Q1,2004,1,03,0,1.5,,2,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2004Q2,2004,2,06,0,1.4,,2.2,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2004Q3,2004,3,09,0,1.3,,2.4,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2004Q4,2004,4,12,0,1.3,,2.4,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2005Q1,2005,1,03,0,1.3,,1.9,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2005Q2,2005,2,06,0,1.2,,2.1,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2005Q3,2005,3,09,0,1.1,,2.2,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2005Q4,2005,4,12,0,1.1,,2.6,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2006Q1,2006,1,03,0,1,,2.2,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2006Q2,2006,2,06,0,0.9,,2.4,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2006Q3,2006,3,09,0,1,,2.6,0.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2006Q4,2006,4,12,0,1,,2.8,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2007Q1,2007,1,03,0,1.1,,2.3,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2007Q2,2007,2,06,0,1.2,,2.7,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2007Q3,2007,3,09,0,1.3,,2.9,1.2
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2007Q4,2007,4,12,0,1.5,,3.1,1.4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2008Q1,2008,1,03,0,1.7,,2.7,1.4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2008Q2,2008,2,06,0,1.9,,3,1.5
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2008Q3,2008,3,09,0,2.1,,3.4,1.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2008Q4,2008,4,12,0,2.2,,3.9,2.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2009Q1,2009,1,03,0,2.6,,3.4,2.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2009Q2,2009,2,06,0,2.7,,3.6,3.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2009Q3,2009,3,09,0,2.8,,3.7,4.4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2009Q4,2009,4,12,0,3.1,,3.7,4.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2010Q1,2010,1,03,0,3.4,,3,4.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2010Q2,2010,2,06,0,3.7,,3.2,4.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2010Q3,2010,3,09,0,3.9,,3.3,4.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2010Q4,2010,4,12,0,4.1,,3.3,4.2
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2011Q1,2011,1,03,0,4.4,,2.8,4.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2011Q2,2011,2,06,0,4.5,,3,4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2011Q3,2011,3,09,0,4.4,,3.1,4.2
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2011Q4,2011,4,12,0,4.1,,3.1,4.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2012Q1,2012,1,03,0,4.2,,2.7,4.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2012Q2,2012,2,06,0,4.1,,2.8,4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2012Q3,2012,3,09,0,4,,3,3.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2012Q4,2012,4,12,0,3.8,,3,3.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2013Q1,2013,1,03,0,3.6,,2.5,3.5
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2013Q2,2013,2,06,0,3.4,,2.4,3.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2013Q3,2013,3,09,0,3.3,,2.3,2.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2013Q4,2013,4,12,0,3,,2.5,2.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2014Q1,2014,1,03,0,2.8,,2.1,2.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2014Q2,2014,2,06,0,2.5,,1.9,2.5
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2014Q3,2014,3,09,0,2.3,,2.2,2.4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2014Q4,2014,4,12,0,2.1,,2.3,2.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2015Q1,2015,1,03,0,2,,1.8,2.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2015Q2,2015,2,06,0,1.8,,1.8,2
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2015Q3,2015,3,09,0,1.6,,2.1,1.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2015Q4,2015,4,12,0,1.4,,2.2,1.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2016Q1,2016,1,03,0,1.3,,1.8,1.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2016Q2,2016,2,06,0,1.2,,1.8,1.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2016Q3,2016,3,09,0,1.1,,2,1.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2016Q4,2016,4,12,0,1,,2,1.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2017Q1,2017,1,03,0,0.9,,1.8,1.4
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2017Q2,2017,2,06,0,0.8,,1.8,1.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2017Q3,2017,3,09,0,0.8,,2,1.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2017Q4,2017,4,12,0,0.7,,2,1.3
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2018Q1,2018,1,03,0,0.7,,1.7,1.2
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2018Q2,2018,2,06,0,0.7,,1.8,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2018Q3,2018,3,09,0,0.6,,2,1.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2018Q4,2018,4,12,0,0.6,,2,1.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2019Q1,2019,1,03,0,0.5,,1.7,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2019Q2,2019,2,06,0,0.5,,1.6,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2019Q3,2019,3,09,0,0.4,,1.8,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2019Q4,2019,4,12,0,0.4,0.2,2.2,1.1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2020Q1,2020,1,03,0,0.4,0.8,1.8,1
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2020Q2,2020,2,06,0,0.3,4.1,0.9,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2020Q3,2020,3,09,0,0.3,2.9,0.8,0.9
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2020Q4,2020,4,12,0,0.3,2.3,1,0.8
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2021Q1,2021,1,03,0,0.3,2,0.9,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2021Q2,2021,2,06,0,0.3,1.4,0.7,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2021Q3,2021,3,09,0,0.2,1.2,0.8,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2021Q4,2021,4,12,0,0.2,0.8,1,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2022Q1,2022,1,03,0,0.2,0.6,1,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2022Q2,2022,2,06,0,0.2,0.5,1,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2022Q3,2022,3,09,0,0.2,0.5,1.2,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2022Q4,2022,4,12,0,0.2,0.5,1.5,0.6
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2023Q1,2023,1,03,0,0.2,0.3,1.3,0.7
NMDB,Quarterly,State,IL,Illinois,All Mortgages,2023Q2,2023,2,06,0,0.3,0.4,1.4,0.6
NMDB,Quarterly,State,IN,Indiana,All Mortgages,2002Q1,2002,1,03,0,2.2,,2.6,0.8
NMDB,Quarterly,State,IN,Indiana,All Mortgages,2002Q2,2002,2,06,0,2.3,,2.9,0.9
NMDB,Quarterly,State,IN,Indiana,All Mortgages,2002Q3,2002,3,09,0,2.4,,3.1,1.1
NMDB,Quarterly,State,IN,Indiana,All Mortgages,2002Q4,2002,4,12,0,2.7,,3.3,1.1
